DateTime;Observed_QM;TCN_Prediction;TOPKAPI_Q;TCN_Error;TOPKAPI_Error
2024-01-19 23:00;49.3100;42.1729;25.8200;7.1371;23.4900
2024-01-20 00:00;49.3100;41.8852;25.6500;7.4248;23.6600
2024-01-20 01:00;49.3100;40.3900;25.5500;8.9200;23.7600
2024-01-20 02:00;49.3100;37.0678;25.5000;12.2422;23.8100
2024-01-20 03:00;49.3100;35.5597;25.4800;13.7503;23.8300
2024-01-20 04:00;49.3100;34.7231;25.4400;14.5869;23.8700
2024-01-20 05:00;49.3100;33.2149;25.3500;16.0951;23.9600
2024-01-20 06:00;47.0900;32.5999;25.2000;14.4901;21.8900
2024-01-20 07:00;42.9000;31.7727;25.0000;11.1273;17.9000
2024-01-20 08:00;37.0100;31.2599;24.7300;5.7501;12.2800
2024-01-20 09:00;33.3300;30.7381;24.4300;2.5919;8.9000
2024-01-20 10:00;31.6100;29.9321;24.1100;1.6779;7.5000
2024-01-20 11:00;29.9000;28.9541;23.7700;0.9459;6.1300
2024-01-20 12:00;26.4700;28.3747;23.4400;-1.9047;3.0300
2024-01-20 13:00;25.0100;27.8409;23.1000;-2.8309;1.9100
2024-01-20 14:00;26.4700;27.2096;22.7800;-0.7396;3.6900
2024-01-20 15:00;33.3300;25.4180;22.4800;7.9120;10.8500
2024-01-20 16:00;35.0400;23.8627;22.2000;11.1773;12.8400
2024-01-20 17:00;38.9700;22.6853;21.9400;16.2847;17.0300
2024-01-20 18:00;40.9400;22.2486;21.7100;18.6914;19.2300
2024-01-20 19:00;40.9400;23.0299;21.5000;17.9101;19.4400
2024-01-20 20:00;40.9400;24.1392;21.2900;16.8008;19.6500
2024-01-20 21:00;42.9000;25.3965;21.0900;17.5035;21.8100
2024-01-20 22:00;40.9400;26.0791;20.8900;14.8609;20.0500
2024-01-20 23:00;40.9400;26.3728;20.6900;14.5672;20.2500
2024-01-21 00:00;40.9400;26.2566;20.4900;14.6834;20.4500
2024-01-21 01:00;40.9400;25.6421;20.2800;15.2979;20.6600
2024-01-21 02:00;40.9400;25.0650;20.0800;15.8750;20.8600
2024-01-21 03:00;40.9400;24.5412;19.8700;16.3988;21.0700
2024-01-21 04:00;40.9400;24.0717;19.6700;16.8683;21.2700
2024-01-21 05:00;40.9400;23.8780;19.4700;17.0620;21.4700
2024-01-21 06:00;37.0100;23.5011;19.2800;13.5089;17.7300
2024-01-21 07:00;31.6100;23.2127;19.0900;8.3973;12.5200
2024-01-21 08:00;28.1800;22.8994;18.9100;5.2806;9.2700
2024-01-21 09:00;26.4700;22.6756;18.7300;3.7944;7.7400
2024-01-21 10:00;25.0100;22.1184;18.5500;2.8916;6.4600
2024-01-21 11:00;22.0800;21.5141;18.3800;0.5659;3.7000
2024-01-21 12:00;20.6100;20.6094;18.2100;0.0006;2.4000
2024-01-21 13:00;19.1500;21.1850;18.0500;-2.0350;1.1000
2024-01-21 14:00;19.1500;18.9879;17.8900;0.1621;1.2600
2024-01-21 15:00;17.9300;17.2108;17.7300;0.7192;0.2000
2024-01-21 16:00;17.9300;16.3293;17.5800;1.6007;0.3500
2024-01-21 17:00;17.9300;15.9154;17.4300;2.0146;0.5000
2024-01-21 18:00;17.9300;17.0219;17.2900;0.9081;0.6400
2024-01-21 19:00;17.9300;18.1639;17.1600;-0.2339;0.7700
2024-01-21 20:00;19.1500;18.9123;17.0500;0.2377;2.1000
2024-01-21 21:00;19.1500;20.3854;16.9600;-1.2354;2.1900
2024-01-21 22:00;19.1500;21.7502;16.8900;-2.6002;2.2600
2024-01-21 23:00;19.1500;23.0917;16.8400;-3.9417;2.3100
2024-01-22 00:00;17.9300;24.0394;16.8100;-6.1094;1.1200
2024-01-22 01:00;17.9300;24.0489;16.7700;-6.1189;1.1600
2024-01-22 02:00;17.9300;22.9226;16.7300;-4.9926;1.2000
2024-01-22 03:00;16.7100;21.7662;16.6700;-5.0562;0.0400
2024-01-22 04:00;16.7100;20.7630;16.5900;-4.0530;0.1200
2024-01-22 05:00;16.7100;20.2188;16.5000;-3.5088;0.2100
2024-01-22 06:00;16.7100;19.7595;16.3900;-3.0495;0.3200
2024-01-22 07:00;16.7100;19.5369;16.2600;-2.8269;0.4500
2024-01-22 08:00;17.9300;19.1124;16.1400;-1.1824;1.7900
2024-01-22 09:00;17.9300;18.9664;16.0100;-1.0364;1.9200
2024-01-22 10:00;17.9300;18.9051;15.8800;-0.9751;2.0500
2024-01-22 11:00;16.7100;18.7075;15.7500;-1.9975;0.9600
2024-01-22 12:00;15.5000;18.4437;15.6200;-2.9437;-0.1200
2024-01-22 13:00;16.7100;16.6173;15.5000;0.0927;1.2100
2024-01-22 14:00;15.5000;14.3803;15.3800;1.1197;0.1200
2024-01-22 15:00;16.7100;12.2876;15.2600;4.4224;1.4500
2024-01-22 16:00;25.0100;11.0494;15.1500;13.9606;9.8600
2024-01-22 17:00;29.9000;10.8447;15.0400;19.0553;14.8600
2024-01-22 18:00;31.6100;10.9900;14.9400;20.6200;16.6700
2024-01-22 19:00;33.3300;11.2764;14.8400;22.0536;18.4900
2024-01-22 20:00;33.3300;11.4093;14.7500;21.9207;18.5800
2024-01-22 21:00;33.3300;11.8897;14.6700;21.4403;18.6600
2024-01-22 22:00;33.3300;12.0263;14.5900;21.3037;18.7400
2024-01-22 23:00;33.3300;12.1870;14.5100;21.1430;18.8200
2024-01-23 00:00;33.3300;12.1792;14.4300;21.1508;18.9000
2024-01-23 01:00;33.3300;12.1722;14.3500;21.1578;18.9800
2024-01-23 02:00;33.3300;12.2888;14.2600;21.0412;19.0700
2024-01-23 03:00;33.3300;12.4073;14.1800;20.9227;19.1500
2024-01-23 04:00;33.3300;12.5233;14.0900;20.8067;19.2400
2024-01-23 05:00;33.3300;12.7523;14.0100;20.5777;19.3200
2024-01-23 06:00;33.3300;12.9876;13.9200;20.3424;19.4100
2024-01-23 07:00;28.1800;13.3917;13.8400;14.7883;14.3400
2024-01-23 08:00;23.5400;13.7680;13.7500;9.7720;9.7900
2024-01-23 09:00;22.0800;14.1287;13.6700;7.9513;8.4100
2024-01-23 10:00;20.6100;14.0727;13.6000;6.5373;7.0100
2024-01-23 11:00;17.9300;12.9829;13.5300;4.9471;4.4000
2024-01-23 12:00;14.2800;11.1377;13.4600;3.1423;0.8200
2024-01-23 13:00;13.0600;9.6323;13.3900;3.4277;-0.3300
2024-01-23 14:00;13.0600;7.6405;13.3300;5.4195;-0.2700
2024-01-23 15:00;12.0800;6.5898;13.2700;5.4902;-1.1900
2024-01-23 16:00;19.1500;5.9207;13.2100;13.2293;5.9400
2024-01-23 17:00;26.4700;5.5903;13.1500;20.8797;13.3200
2024-01-23 18:00;28.1800;6.1432;13.0900;22.0368;15.0900
2024-01-23 19:00;28.1800;7.0718;13.0200;21.1082;15.1600
2024-01-23 20:00;28.1800;7.8177;12.9600;20.3623;15.2200
2024-01-23 21:00;28.1800;8.6621;12.9000;19.5179;15.2800
2024-01-23 22:00;29.9000;9.9694;12.8300;19.9306;17.0700
2024-01-23 23:00;28.1800;10.7499;12.7700;17.4301;15.4100
2024-01-24 00:00;28.1800;10.4854;12.7000;17.6946;15.4800
2024-01-24 01:00;28.1800;10.9040;12.6300;17.2760;15.5500
2024-01-24 02:00;28.1800;11.1588;12.5700;17.0212;15.6100
2024-01-24 03:00;28.1800;13.4434;12.5000;14.7366;15.6800
2024-01-24 04:00;29.9000;12.7644;12.4400;17.1356;17.4600
2024-01-24 05:00;28.1800;12.4072;12.3700;15.7728;15.8100
2024-01-24 06:00;26.4700;11.0945;12.3100;15.3755;14.1600
2024-01-24 07:00;23.5400;10.7550;12.2500;12.7850;11.2900
2024-01-24 08:00;22.0800;10.4125;12.1900;11.6675;9.8900
2024-01-24 09:00;19.1500;10.4142;12.1300;8.7358;7.0200
