DateTime;Observed_QM;TCN_Prediction;TOPKAPI_Q;TCN_Error;TOPKAPI_Error
2013-01-02 00:00;23.5400;115.5382;267.0800;-91.9982;-243.5400
2013-01-02 01:00;22.0800;115.4835;258.5000;-93.4035;-236.4200
2013-01-02 02:00;22.0800;107.9220;250.3800;-85.8420;-228.3000
2013-01-02 03:00;23.5400;108.5135;242.6700;-84.9735;-219.1300
2013-01-02 04:00;23.5400;101.2402;235.3400;-77.7002;-211.8000
2013-01-02 05:00;23.5400;101.3799;228.3800;-77.8399;-204.8400
2013-01-02 06:00;22.0800;96.2682;221.8600;-74.1882;-199.7800
2013-01-02 07:00;22.0800;89.5484;215.8900;-67.4684;-193.8100
2013-01-02 08:00;23.5400;94.8190;210.5200;-71.2790;-186.9800
2013-01-02 09:00;20.6100;96.4727;205.9000;-75.8627;-185.2900
2013-01-02 10:00;16.7100;98.3493;202.2700;-81.6393;-185.5600
2013-01-02 11:00;14.2800;102.6195;199.7600;-88.3395;-185.4800
2013-01-02 12:00;11.1000;105.8643;198.3800;-94.7643;-187.2800
2013-01-02 13:00;9.1500;110.6054;197.8300;-101.4554;-188.6800
2013-01-02 14:00;8.1700;114.8009;197.6800;-106.6309;-189.5100
2013-01-02 15:00;7.4300;117.4621;197.4900;-110.0321;-190.0600
2013-01-02 16:00;7.4300;118.3724;196.8800;-110.9424;-189.4500
2013-01-02 17:00;8.1700;115.6389;195.7600;-107.4689;-187.5900
2013-01-02 18:00;7.4300;113.2009;194.0300;-105.7709;-186.6000
2013-01-02 19:00;12.0800;109.7643;191.5300;-97.6843;-179.4500
2013-01-02 20:00;23.5400;106.7427;188.3400;-83.2027;-164.8000
2013-01-02 21:00;26.4700;102.8995;184.6400;-76.4295;-158.1700
2013-01-02 22:00;28.1800;98.9816;180.6800;-70.8016;-152.5000
2013-01-02 23:00;29.9000;94.7008;176.5900;-64.8008;-146.6900
2013-01-03 00:00;31.6100;90.7827;172.3500;-59.1727;-140.7400
2013-01-03 01:00;33.3300;86.5005;167.9900;-53.1705;-134.6600
2013-01-03 02:00;33.3300;83.2682;163.6400;-49.9382;-130.3100
2013-01-03 03:00;33.3300;80.4088;159.4200;-47.0788;-126.0900
2013-01-03 04:00;35.0400;78.6226;155.3800;-43.5826;-120.3400
2013-01-03 05:00;33.3300;77.2437;151.5700;-43.9137;-118.2400
2013-01-03 06:00;33.3300;76.9225;147.9900;-43.5925;-114.6600
2013-01-03 07:00;31.6100;75.8046;144.6100;-44.1946;-113.0000
2013-01-03 08:00;29.9000;75.0062;141.4200;-45.1062;-111.5200
2013-01-03 09:00;26.4700;74.0178;138.4000;-47.5478;-111.9300
2013-01-03 10:00;26.4700;72.9304;135.5000;-46.4604;-109.0300
2013-01-03 11:00;26.4700;71.8337;132.7300;-45.3637;-106.2600
2013-01-03 12:00;23.5400;70.2663;130.0600;-46.7263;-106.5200
2013-01-03 13:00;22.0800;68.6028;127.4800;-46.5228;-105.4000
2013-01-03 14:00;20.6100;66.9430;124.9800;-46.3330;-104.3700
